Дата;Район;Вид недвижимости;Среднее (сом/кв,м,)
март 2025 года;Аксыйский;Жилой дом;30114,39
март 2025 года;Аксыйский;Квартира;40725,47
март 2025 года;Аксыйский;Коммерческое;3778,24
март 2025 года;Акталинский;Жилой дом;3726,51
март 2025 года;Алабукинский;Жилой дом;32856,99
март 2025 года;Алабукинский;Квартира;36046,86
март 2025 года;Алабукинский;Коммерческое;229758,17
март 2025 года;Алайский;Жилой дом;7289,38
март 2025 года;Алайский;Квартира;13872,37
март 2025 года;Алайский;Коммерческое;1376,42
март 2025 года;Аламедин;Жилой дом;111035,64
март 2025 года;Аламедин;Квартира;63489,19
март 2025 года;Аламедин;Коммерческое;89937,83
март 2025 года;Аламедин;Производственное;4509,9
март 2025 года;Араванский;Жилой дом;19459,65
март 2025 года;Араванский;Квартира;463378,8
март 2025 года;Араванский;Коммерческое;12687,97
март 2025 года;Атбашинский;Жилой дом;1147,13
март 2025 года;Базаркоргонский;Жилой дом;5805,7
март 2025 года;Базаркоргонский;Квартира;46235,03
март 2025 года;Базаркоргонский;Коммерческое;51260,89
март 2025 года;Базаркоргонский;Производственное;133,33
март 2025 года;Бакай-aтинский;Жилой дом;13628,38
март 2025 года;Балыкчинский;Жилой дом;29327,67
март 2025 года;Балыкчинский;Квартира;47563,09
март 2025 года;Балыкчинский;Коммерческое;82865,42
март 2025 года;Баткенский;Жилой дом;32072,68
март 2025 года;Баткенский;Квартира;625
март 2025 года;Баткенский;Коммерческое;57453,18
март 2025 года;Баткенский;Производственное;650
март 2025 года;Бишкек;Административное;23797,54
март 2025 года;Бишкек;Жилой дом;142660,91
март 2025 года;Бишкек;Квартира;105512,97
март 2025 года;Бишкек;Коммерческое;92315,83
март 2025 года;Бишкек;Производственное;23146,25
март 2025 года;Бишкек;Социальное;22537,23
март 2025 года;Жайылский;Социальное;336,2
март 2025 года;Жайылский;Жилой дом;46677,2
март 2025 года;Жайылский;Квартира;56290,55
март 2025 года;Жайылский;Коммерческое;37163,08
март 2025 года;Жалалабад;Жилой дом;81034,39
март 2025 года;Жалалабад;Квартира;73969,59
март 2025 года;Жалалабад;Коммерческое;23884,73
март 2025 года;Жалалабад;Производственное;804,91
март 2025 года;Жетиогузский;Жилой дом;47088,77
март 2025 года;Жетиогузский;Коммерческое;6199,27
март 2025 года;Жумгальский;Жилой дом;3543,59
март 2025 года;Жумгальский;Квартира;136,99
март 2025 года;ИссыкАтинский;Жилой дом;78489,31
март 2025 года;ИссыкАтинский;Квартира;54853,51
март 2025 года;ИссыкАтинский;Коммерческое;24824,15
март 2025 года;ИссыкАтинский;Производственное;743,88
